date,state,positive,negative,recovered,death,deathIncrease,negativeIncrease,positiveIncrease,total,posNeg,state_ch,state_en
3.13,NH,6,94,0,0,0,0,0,121,100,新罕布什尔州（新罕布夏州）,New Hampshire Hampshire
3.13,NJ,50,97,0,1,0,23,20,227,147,新泽西州,New Jersey
3.13,NM,10,190,0,0,0,35,5,200,200,新墨西哥州,New Mexico
3.13,NV,11,168,0,0,0,0,4,179,179,内华达州,Nevada
3.13,NY,421,2779,0,0,0,2687,205,3200,3200,纽约州,New York
3.13,OH,13,50,0,0,0,20,8,222,63,俄亥俄州,Ohio
3.13,OK,3,36,0,0,0,0,0,76,39,俄克拉荷马州,Oklahoma
3.13,OR,30,337,0,0,0,51,11,524,367,俄勒冈州,Oregon
3.13,PA,41,140,0,0,0,24,19,311,181,宾夕法尼亚州,Pennsylvania
3.13,RI,14,142,0,0,0,48,9,185,156,罗得岛州（罗德岛州）,Rhode Island
3.13,SC,12,75,0,0,0,27,2,87,87,南卡罗来纳州,South Carolina
3.13,SD,9,73,0,0,0,46,1,93,82,南达科他州,South Dakota
3.13,TN,26,116,0,0,0,37,8,142,142,田纳西州,Tennessee
3.13,TX,39,0,0,0,0,0,16,39,39,得克萨斯州,Texas
3.13,UT,6,131,0,0,0,0,2,137,137,犹他州,Utah
3.13,VA,30,117,0,0,0,0,13,147,147,弗吉尼亚州,Virginia
3.13,VT,2,142,0,0,0,45,0,144,144,佛蒙特州,Vermont
3.13,WA,702,14598,0,47,3,4027,151,15300,15300,华盛顿州,Washington
3.13,WI,19,169,0,0,0,85,11,188,188,威斯康辛州（威斯康星州）,Wisconsin
3.13,WV,0,17,0,0,0,10,0,21,17,西弗吉尼亚州,Wst Virginia
3.13,WY,1,0,0,0,0,0,0,1,1,怀俄明州,Wyoming
3.14,AK,1,143,0,0,0,84,0,144,144,阿拉斯加州,Alaska
3.14,AL,6,22,0,0,0,11,5,74,28,阿拉巴马州,Alabama
3.14,AR,12,65,0,0,0,35,3,103,77,阿肯色州,Arkansas
3.14,AZ,12,121,0,0,0,27,3,183,133,亚利桑那州,Arizona
3.14,CA,252,916,0,5,1,0,50,1168,1168,加利福尼亚州,California
3.14,CO,101,610,0,1,1,86,29,711,711,科罗拉多州,Colorado
3.14,CT,11,125,0,0,0,26,5,136,136,康涅狄格州,Connecticut
3.14,DE,6,36,0,0,0,6,2,74,42,特拉华州,Delaware
3.14,FL,77,478,0,3,1,0,27,776,555,佛罗里达州,Florida
3.14,GA,66,0,0,1,0,0,24,66,66,乔治亚州（佐治亚州）,Georgia
3.14,HI,2,0,0,0,0,0,0,2,2,夏威夷州,Hawaii
3.14,IA,17,83,0,0,0,0,1,100,100,爱荷华州（艾奥瓦州）（衣阿华州）,Iowa
3.14,ID,2,174,0,0,0,43,2,176,176,爱达荷州,Idaho
3.14,IL,46,316,0,0,0,22,14,444,362,伊利诺斯州,Illinois
3.14,IN,15,74,0,0,0,13,3,89,89,印第安纳州,Indiana
3.14,KS,6,93,0,1,1,0,0,99,99,堪萨斯州,Kansas
3.14,KY,14,139,0,0,0,32,3,153,153,肯塔基州,Kentucky
3.14,LA,51,109,0,0,0,72,15,160,160,路易斯安那州,Louisiana
3.14,MA,38,0,0,0,0,0,15,38,38,马萨诸塞州（麻省、麻州）,Massachusetts
3.14,MD,26,94,0,0,0,0,9,120,120,马里兰州,Maryland
3.14,ME,3,91,0,0,0,0,0,111,94,缅因州,Maine
3.14,MI,1196,205,0,0,0,72,251,1427,1401,密歇根州（密执安州）,Michigan
3.14,MN,21,847,0,0,0,306,7,868,868,明尼苏达州,Minnesota
3.14,MO,4,90,0,0,0,19,2,94,94,密苏里州,Missouri
3.14,MS,6,84,0,0,0,43,2,90,90,密西西比州,Mississippi
3.14,MT,5,103,0,0,0,48,4,108,108,蒙大拿州,Montana
3.14,NC,23,137,0,0,0,51,8,160,160,北卡罗来纳州,North Carolina
3.14,ND,1,54,0,0,0,15,0,69,55,北达科他州,North Dakota
3.14,NE,14,80,0,0,0,0,1,127,94,内布拉斯加州,Nebraska
3.14,NH,7,212,0,0,0,118,1,250,219,新罕布什尔州（新罕布夏州）,New Hampshire Hampshire
3.14,NJ,50,97,0,1,0,0,0,227,147,新泽西州,New Jersey
3.14,NM,10,237,0,0,0,47,0,247,247,新墨西哥州,New Mexico
3.14,NV,20,168,0,0,0,0,9,188,188,内华达州,Nevada
3.14,NY,524,2779,0,0,0,0,103,3303,3303,纽约州,New York
3.14,OH,13,50,0,0,0,0,0,222,63,俄亥俄州,Ohio
3.14,OK,4,36,0,0,0,0,1,77,40,俄克拉荷马州,Oklahoma
3.14,OR,30,337,0,0,0,0,0,524,367,俄勒冈州,Oregon
3.14,PA,47,205,0,0,0,65,6,402,252,宾夕法尼亚州,Pennsylvania
